# Lat      Long
42.440558 -76.496313
42.449341 -76.491607
42.442345 -76.489558
42.445614 -76.485966
42.451195 -76.485935
42.443489 -76.480328
42.452088 -76.481154
42.454611 -76.482332
42.452972 -76.478715
42.445394 -76.475304
42.443645 -76.47487
42.458385 -76.483254
42.456034 -76.478512
42.456563 -76.478233
42.448524 -76.472158
42.453659 -76.473923
42.447606 -76.470777
42.459016 -76.475221
42.445616 -76.466381
42.446168 -76.46512
42.438712 -76.464197
42.485784 -76.490577
